Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
,,1-Apr-2015,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
57,ASIC,12-Apr-2015,https://www.blackarrowsoftware.com/store/prospero-x-1.5.html,06-May-2018,Black Arrow,Black Arrow Prospero X-1.5,"150,000",137,1099
,,12-Apr-2015,https://bitcointalk.org/index.php?topic=1022085.0,06-May-2018,,,,,
58,ASIC,1-Jul-2015,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Bitmain,AntMiner S7,"4,860,000","1,210",4017
,,1-Jul-2015, https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
,,1-Jul-2015,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
59,ASIC,14-Aug-2015,https://bitcointalk.org/index.php?topic=1152746.0,06-May-2018,Bitmain,AntMiner S5+,"7,722,000","3,436",2247
,,14-Aug-2015,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,,,,,
60,ASIC,8-Feb-2016,http://bitcoinist.com/avalon-6-review-3-5-ths-asic-bitcoin-miner-stable-powerful/,06-May-2018,Canaan,Avalon6,"3,500,000","1,080",3241
61,ASIC,1-Jun-2016,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Bitmain,AntMiner S9 ,"13,500,000","1,450",9310
,,1-Jun-2016,https://www.cryptocompare.com/mining/bitmain/antminer-s9-miner/,06-May-2018,,,,,
,,1-Jun-2016,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
62,ASIC,1-Nov-2016,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Canaan,Avalon 721,"6,000,000","1,000",6000
,,1-Nov-2016,https://www.cryptocompare.com/mining/bitmain/antminer-r4-miner/,06-May-2018,,,,,
63,ASIC,4-Dec-2016,https://bitcointalk.org/index.php?topic=622439.0,06-May-2018,Hangzhou-Ebang,Ebit E9,"6,300,000",882,7143
,,4-Dec-2016,https://asicminermarket.com/product/ebit-e9-miner-6-5t-bitcoin-miner-14nm-asic/,06-May-2018,,,,,
64,ASIC,1-Jan-2017,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Bitmain,AntMiner T9,"12,500,000","1,576",7931
,,1-Jan-2017,https://www.cryptocompare.com/mining/asic-miner-market/avalon-721-miner/,06-May-2018,,,,,
65,ASIC,1-Mar-2017,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Canaan,Avalon 741,"7,300,000","1,150",6348
